antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Bag of Organic Bananas'}),0.03720094039551929,0.16678191121559952,0.010510302862674596,0.2825278810408922,1.693995943454968,1.0,0.0043058589244922875,1.16132469369432,0.4255091549615203,0.054324517512508934,0.13891437473969984,0.17277306158180597
frozenset({'Bag of Organic Bananas'}),frozenset({'Apple Honeycrisp Organic'}),0.16678191121559952,0.03720094039551929,0.010510302862674596,0.06301824212271973,1.6939959434549678,1.0,0.0043058589244922875,1.027553686622127,0.4916837737497269,0.054324517512508934,0.026814838952798955,0.17277306158180597
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.09984787719540866,0.16678191121559952,0.021712073018946204,0.21745152354570635,1.3038076009610302,1.0,0.005059253229475473,1.0647494869067915,0.2588625450503124,0.08865047995482779,0.06081194469029087,0.17381697238645183
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.16678191121559952,0.09984787719540866,0.021712073018946204,0.13018242122719734,1.3038076009610302,1.0,0.005059253229475473,1.0348746044826855,0.27965747812987274,0.08865047995482779,0.03369935287968411,0.17381697238645183
frozenset({'Organic Garlic'}),frozenset({'Bag of Organic Bananas'}),0.04577513483612225,0.16678191121559952,0.011201770156271608,0.2447129909365559,1.4672633809802949,1.0,0.0035673056821513708,1.1031807495505463,0.33373590982286633,0.05563186813186813,0.0935302302841885,0.15593858502051677
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Garlic'}),0.16678191121559952,0.04577513483612225,0.011201770156271608,0.06716417910447761,1.4672633809802949,1.0,0.0035673056821513708,1.022929055455677,0.3822037805440295,0.05563186813186813,0.022415098420938785,0.15593858502051677
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.08850781358041765,0.16678191121559952,0.026137463697967087,0.2953125,1.7706506529850743,1.0,0.011375961391511038,1.1823937401818543,0.4774981757230277,0.1140615570307785,0.15425803941908708,0.22601445895522387
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.16678191121559952,0.08850781358041765,0.026137463697967087,0.15671641791044774,1.7706506529850743,1.0,0.011375961391511038,1.0808845396480005,0.5223552657577554,0.1140615570307785,0.07483180365808642,0.22601445895522387
frozenset({'Organic Lemon'}),frozenset({'Bag of Organic Bananas'}),0.03803070114783571,0.16678191121559952,0.010925183238832804,0.2872727272727273,1.7224453490125131,1.0,0.00458235021652747,1.1690559919168886,0.4360118939300194,0.05634807417974322,0.14460897774424747,0.17638926579225087
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Lemon'}),0.16678191121559952,0.03803070114783571,0.010925183238832804,0.06550580431177445,1.722445349012513,1.0,0.00458235021652747,1.0294010420725024,0.5033856820211146,0.05634807417974322,0.028561309801386006,0.17638926579225087
