antecedent_str,consequent_str,support,confidence,lift
Bag of Organic Bananas,Apple Honeycrisp Organic,0.010510302862674596,0.06301824212271973,1.6939959434549678
Apple Honeycrisp Organic,Bag of Organic Bananas,0.010510302862674596,0.2825278810408922,1.693995943454968
Bag of Organic Bananas,Organic Baby Spinach,0.021712073018946204,0.13018242122719734,1.3038076009610302
Organic Baby Spinach,Bag of Organic Bananas,0.021712073018946204,0.21745152354570635,1.3038076009610302
Bag of Organic Bananas,Organic Garlic,0.011201770156271608,0.06716417910447761,1.4672633809802949
Organic Garlic,Bag of Organic Bananas,0.011201770156271608,0.2447129909365559,1.4672633809802949
Bag of Organic Bananas,Organic Hass Avocado,0.026137463697967087,0.15671641791044774,1.7706506529850743
Organic Hass Avocado,Bag of Organic Bananas,0.026137463697967087,0.2953125,1.7706506529850743
Bag of Organic Bananas,Organic Lemon,0.010925183238832804,0.06550580431177445,1.722445349012513
Organic Lemon,Bag of Organic Bananas,0.010925183238832804,0.2872727272727273,1.7224453490125131
Bag of Organic Bananas,Organic Raspberries,0.018116443092241738,0.10862354892205638,1.8309018234391368
Organic Raspberries,Bag of Organic Bananas,0.018116443092241738,0.30536130536130535,1.8309018234391365
Bag of Organic Bananas,Organic Strawberries,0.023509887982298437,0.14096185737976782,1.2935218156257628
Organic Strawberries,Bag of Organic Bananas,0.023509887982298437,0.21573604060913706,1.2935218156257628
Bag of Organic Bananas,Organic Whole Milk,0.010925183238832804,0.06550580431177445,1.2367427440690368
Organic Whole Milk,Bag of Organic Bananas,0.010925183238832804,0.20626631853785904,1.236742744069037
Organic Yellow Onion,Bag of Organic Bananas,0.011478357073710414,0.22865013774104687,1.3709528573843364
Bag of Organic Bananas,Organic Yellow Onion,0.011478357073710414,0.06882255389718077,1.3709528573843366
Banana,Cucumber Kirby,0.012584704743465635,0.06140350877192983,1.5801023912093402
Cucumber Kirby,Banana,0.012584704743465635,0.3238434163701068,1.5801023912093402
Banana,Honeycrisp Apple,0.01396763933065966,0.06815114709851552,1.8809196361426173
Honeycrisp Apple,Banana,0.01396763933065966,0.38549618320610685,1.8809196361426173
Banana,Large Lemon,0.01286129166090444,0.06275303643724696,1.0039097488445416
Large Lemon,Banana,0.01286129166090444,0.20575221238938055,1.0039097488445416
Banana,Limes,0.01341446549578205,0.06545209176788125,1.1268668466036889
Limes,Banana,0.01341446549578205,0.23095238095238096,1.1268668466036889
Organic Avocado,Banana,0.021850366477665608,0.2776801405975396,1.3548617386375228
Banana,Organic Avocado,0.021850366477665608,0.10661268556005399,1.3548617386375228
Banana,Organic Baby Spinach,0.02046743189047158,0.09986504723346828,1.000171961973974
Organic Baby Spinach,Banana,0.02046743189047158,0.20498614958448752,1.000171961973974
Organic Fuji Apple,Banana,0.01396763933065966,0.3633093525179856,1.7726652685948405
Banana,Organic Fuji Apple,0.01396763933065966,0.06815114709851552,1.7726652685948407
Banana,Organic Strawberries,0.02572258332180888,0.12550607287449392,1.1516934174561746
Organic Strawberries,Banana,0.02572258332180888,0.23604060913705582,1.1516934174561746
Organic Whole Milk,Banana,0.01341446549578205,0.25326370757180156,1.235728656849998
Banana,Organic Whole Milk,0.01341446549578205,0.06545209176788125,1.2357286568499983
Banana,Strawberries,0.018393030009680542,0.08974358974358974,1.4046231546231547
Strawberries,Banana,0.018393030009680542,0.2878787878787879,1.4046231546231547
Organic Avocado,Organic Baby Spinach,0.012169824367307427,0.15465729349736382,1.5489292095283071
Organic Baby Spinach,Organic Avocado,0.012169824367307427,0.12188365650969529,1.548929209528307
Organic Avocado,Organic Strawberries,0.010648596321393998,0.13532513181019332,1.2417969899993755
Organic Strawberries,Organic Avocado,0.010648596321393998,0.09771573604060914,1.2417969899993755
Organic Baby Spinach,Organic Hass Avocado,0.01286129166090444,0.12880886426592797,1.4553389023545704
Organic Hass Avocado,Organic Baby Spinach,0.01286129166090444,0.14531249999999998,1.4553389023545704
Organic Baby Spinach,Organic Strawberries,0.01728668233992532,0.17313019390581716,1.5887112082905632
Organic Strawberries,Organic Baby Spinach,0.01728668233992532,0.15862944162436549,1.5887112082905634
Organic Raspberries,Organic Hass Avocado,0.010372009403955194,0.17482517482517484,1.9752513111888113
Organic Hass Avocado,Organic Raspberries,0.010372009403955194,0.1171875,1.975251311188811
Organic Hass Avocado,Organic Strawberries,0.016042041211450697,0.18124999999999997,1.6632217639593905
Organic Strawberries,Organic Hass Avocado,0.016042041211450697,0.14720812182741116,1.6632217639593907
Organic Raspberries,Organic Strawberries,0.013829345871940258,0.2331002331002331,2.1390200324210475
Organic Strawberries,Organic Raspberries,0.013829345871940258,0.12690355329949238,2.1390200324210475
